date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:05	117/117	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Aug%202024%2006:47:05%20GMT	https://nuss.uxper.co/robots.txt		(from )
12:17:05	225879/225879	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:34:57%20GMT	https://nuss.uxper.co/boutique-hotel/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/index.html	(from )
12:17:07	152096/152096	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Aug%202023%2020:15:52%20GMT	https://nuss.uxper.co/wp-content/themes/nuss/assets/libs/font-awesome/webfonts/fa-regular-400.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/wp-content/themes/nuss/assets/libs/font-awesome/webfonts/fa-regular-400.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:08	6262/6262	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Aug%202024%2006:47:08%20GMT	https://fonts.googleapis.com/css?family=Jost%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CCormorant+Garamond%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=swap	/home/isha/Desktop/hostel/hostel/fonts.googleapis.com/css4983.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:08	164648/164648	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Aug%202023%2020:15:52%20GMT	https://nuss.uxper.co/wp-content/themes/nuss/assets/libs/font-awesome/webfonts/fa-light-300.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/wp-content/themes/nuss/assets/libs/font-awesome/webfonts/fa-light-300.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:10	5842/5842	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:47:10%20GMT	https://gmpg.org/xfn/11	/home/isha/Desktop/hostel/hostel/gmpg.org/xfn/11.html	(from https://nuss.uxper.co/boutique-hotel/)
12:17:10	1005153/1005153	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2017:39:05%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_06612800ebf4cf7aba2fb8ecab1323b0.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_06612800ebf4cf7aba2fb8ecab1323b0.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:11	7021/7021	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2008:49:53%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_645e25746732f92ab8912b8a07744c57.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_645e25746732f92ab8912b8a07744c57.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:12	39/39	---M--	200	added ('OK')	text/css	date:Tue,%2007%20May%202024%2008:41:15%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/nuss/header/header-01.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/nuss/header/header-01.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:13	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Aug%202024%2006:47:13%20GMT	https://fonts.gstatic.com/	/home/isha/Desktop/hostel/hostel/fonts.gstatic.com/index.html	(from https://nuss.uxper.co/boutique-hotel/)
12:17:13	938/938	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2008:49:53%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_818012e4388a3ce13001eeaba0a6c771.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_818012e4388a3ce13001eeaba0a6c771.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:14	6766/6766	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2008:49:53%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_71440b59ee4be0e755ccad2305999d0e.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_71440b59ee4be0e755ccad2305999d0e.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:15	37626/37626	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2008:53:15%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_69dde41a6bda34fabeffb015b825987a.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_69dde41a6bda34fabeffb015b825987a.css	(from https://nuss.uxper.co/boutique-hotel/)
12:17:17	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2022:09:42%20GMT	https://nuss.uxper.co/boutique-hotel/wp-includes/js/jquery/jquery.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-includes/js/jquery/jquery.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:17	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Aug%202023%2021:53:31%20GMT	https://nuss.uxper.co/boutique-hotel/wp-includes/js/jquery/jquery-migrate.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-includes/js/jquery/jquery-migrate.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:18	9636/9636	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Jun%202024%2016:38:28%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:19	3058/3058	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Jun%202024%2016:38:28%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:20	1720/1720	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Jun%202024%2016:38:28%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:21	2467/2467	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Jun%202024%2016:38:28%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js	(from https://nuss.uxper.co/boutique-hotel/)
12:17:22	1376/1376	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2012%20Aug%202024%2006:47:13%20GMT	https://nuss.uxper.co/boutique-hotel/comments/feed/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/comments/feed/index.html	(from https://nuss.uxper.co/boutique-hotel/)
12:17:22	32907/32907	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2012%20Aug%202024%2006:47:13%20GMT	https://nuss.uxper.co/boutique-hotel/feed/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/feed/index.html	(from https://nuss.uxper.co/boutique-hotel/)
12:17:25	1766/1766	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:57:07%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/cropped-site_icon-100x100.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/cropped-site_icon-100x100.png	(from https://nuss.uxper.co/boutique-hotel/)
12:17:25	148359/148359	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:47:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/12	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/12.json	(from https://nuss.uxper.co/boutique-hotel/)
12:17:26	5087/5087	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:57:05%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/cropped-site_icon-300x300.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/cropped-site_icon-300x300.png	(from https://nuss.uxper.co/boutique-hotel/)
12:17:28	94570/94570	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:38:01%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones24_ALTA.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones24_ALTA.jpg	(from https://nuss.uxper.co/boutique-hotel/)
12:17:28	1205239/1205239	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:47:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/index.html	(from https://nuss.uxper.co/boutique-hotel/)
12:17:29	79330/79330	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Nov%202021%2003:13:29%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/11/photo-1598901865264-4f5f30954532.jpeg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/11/photo-1598901865264-4f5f30954532.jpg	(from https://nuss.uxper.co/boutique-hotel/)
12:17:30	13864/13864	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-HzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-HzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:32	11080/11080	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-OzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-OzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:32	5220/5220	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-FzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-FzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:34	17168/17168	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-EzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-EzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:35	20544/20544	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-KzhM.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPjuz-KzhM.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:36	14264/14264	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtFmSq17w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtFmSq17w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:37	11380/11380	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtMmSq17w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtMmSq17w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:38	5512/5512	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtHmSq17w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtHmSq17w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:39	18036/18036	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtGmSq17w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtGmSq17w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:40	21612/21612	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSo.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSo.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:41	14188/14188	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-HzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-HzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:43	11264/11264	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-OzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-OzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:43	5628/5628	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-FzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-FzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:45	18164/18164	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-EzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-EzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:46	21956/21956	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-KzhM.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEO7uj-KzhM.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:47	14416/14416	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-HzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-HzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:48	11368/11368	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-OzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-OzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:49	5572/5572	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-FzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-FzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:51	18116/18116	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-EzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-EzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:52	21652/21652	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-KzhM.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEOXvT-KzhM.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:53	14020/14020	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-HzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-HzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:54	11140/11140	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-OzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-OzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:55	5248/5248	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-FzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-FzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:56	17240/17240	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-EzhO7_w.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-EzhO7_w.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:58	20348/20348	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:24%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-KzhM.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3WmX5slCNuHLi8bLeY9MK7whWMhyjYrEPzvD-KzhM.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:17:59	13084/13084	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsw-I1hc.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsw-I1hc.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:18:00	12132/12132	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfug-I1hc.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfug-I1hc.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:18:01	5008/5008	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsQ-I1hc.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsQ-I1hc.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:18:02	16904/16904	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsA-I1hc.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfsA-I1hc.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:18:03	19812/19812	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfvg-I.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQAllfvg-I.woff2	(from https://nuss.uxper.co/boutique-hotel/)
12:18:04	13648/13648	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2015:51:25%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYpHtKgS4.woff2	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/fonts/cormorant-garamond/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYpHtKgS4.woff2	(from https://nuss.uxper.co/boutique-hotel/)
